t, time(sec), Ek, Vmax
935 382.313 0.290136 -0.289673
940 384.879 0.290136 -0.289673
945 387.308 0.290137 -0.289672
950 389.701 0.290137 -0.289672
955 392.28 0.290138 -0.289672
960 394.814 0.290138 -0.289671
965 397.315 0.290139 -0.289671
970 399.825 0.290139 -0.28967
975 402.351 0.29014 -0.28967
980 404.873 0.29014 -0.28967
985 407.761 0.29014 -0.28967
990 410.377 0.290141 -0.289669
995 413.138 0.290141 -0.289669
1000 415.918 0.290141 -0.289669
1005 418.361 0.290141 -0.289669
1010 420.946 0.290142 -0.289668
1015 423.412 0.290142 -0.289668
1020 425.885 0.290142 -0.289668
t, time(sec), Ek, Vmax
0.0005 0.034 0.290142 -0.289668
5 2.544 0.283656 -0.283161
10 4.979 0.283668 -0.283175
15 7.472 0.283667 -0.283183
20 10.023 0.283661 -0.28319
25 12.308 0.283655 -0.283195
30 14.637 0.283649 -0.283201
35 16.938 0.283642 -0.283206
40 19.263 0.283637 -0.28321
45 21.546 0.283631 -0.283214
50 23.794 0.283626 -0.283218
55 26.08 0.283621 -0.283222
60 28.399 0.283616 -0.283226
65 30.751 0.283611 -0.283229
70 33.095 0.283607 -0.283232
75 35.631 0.283603 -0.283235
80 40.196 0.283599 -0.283238
85 43.57 0.283596 -0.283241
90 46.922 0.283592 -0.283243
95 49.985 0.283589 -0.283245
100 53.07 0.283586 -0.283248
105 55.914 0.283583 -0.28325
110 58.904 0.28358 -0.283252
115 61.823 0.283577 -0.283253
120 64.559 0.283575 -0.283255
125 67.16 0.283573 -0.283257
130 69.729 0.28357 -0.283258
135 72.327 0.283568 -0.28326
140 74.962 0.283566 -0.283261
145 77.577 0.283564 -0.283262
150 80.338 0.283563 -0.283264
155 82.862 0.283561 -0.283265
160 85.586 0.283559 -0.283266
165 88.423 0.283558 -0.283267
170 91.227 0.283556 -0.283268
175 94.353 0.283555 -0.283269
180 97.301 0.283554 -0.28327
185 100.144 0.283553 -0.28327
190 102.662 0.283552 -0.283271
195 105.932 0.28355 -0.283272
200 109.003 0.283549 -0.283273
205 111.705 0.283548 -0.283273
210 114.414 0.283548 -0.283274
215 117.21 0.283547 -0.283274
220 120.106 0.283546 -0.283275
225 122.722 0.283545 -0.283275
230 125.507 0.283544 -0.283276
235 128.778 0.283544 -0.283276
240 131.614 0.283543 -0.283277
245 134.266 0.283542 -0.283277
250 137.146 0.283542 -0.283278
255 140.219 0.283541 -0.283278
260 142.98 0.283541 -0.283278
265 145.897 0.28354 -0.283279
270 149.054 0.28354 -0.283279
275 151.805 0.283539 -0.283279
280 154.428 0.283539 -0.283279
285 157.24 0.283539 -0.28328
290 159.958 0.283538 -0.28328
295 162.524 0.283538 -0.28328
300 164.996 0.283537 -0.28328
305 168.118 0.283537 -0.283281
310 170.936 0.283537 -0.283281
315 173.103 0.283537 -0.283281
320 175.346 0.283536 -0.283281
325 177.545 0.283536 -0.283281
330 180.237 0.283536 -0.283281
335 182.526 0.283536 -0.283282
t, time(sec), Ek, Vmax
0.0005 0.017 0.283535 -0.283281
5 2.145 0.276921 -0.276641
10 4.439 0.276933 -0.276655
15 7.02 0.27693 -0.276663
