x, y, ksi, T
#iter= 1
0.05 0.1 -0.0146755 0.773516 
0.1 0.1 -0.00778787 0.769834 
0.15 0.1 -0.000661919 0.768523 
0.2 0.1 0.00643878 0.769573 
0.25 0.1 0.0132735 0.772934 
0.3 0.1 0.0196157 0.778524 
0.35 0.1 0.0252569 0.786224 
0.4 0.1 0.0300123 0.795883 
0.45 0.1 0.0337251 0.807314 
0.5 0.1 0.0362693 0.820295 
0.55 0.1 0.0375516 0.834558 
0.6 0.1 0.0375126 0.84977 
0.65 0.1 0.0361292 0.865511 
0.7 0.1 0.0334189 0.881248 
0.75 0.1 0.0294451 0.896317 
0.8 0.1 0.0243228 0.909935 
0.85 0.1 0.0182228 0.921246 
0.9 0.1 0.0113709 0.929419 
0.95 0.1 0.00404066 0.933782 
1 0.1 -0.00346146 0.933951 
1.05 0.1 -0.0108165 0.929909 
1.1 0.1 -0.0177163 0.922017 
1.15 0.1 -0.0238841 0.910928 
1.2 0.1 -0.0290902 0.897467 
1.25 0.1 -0.0331597 0.882491 
1.3 0.1 -0.0359734 0.866793 
1.35 0.1 -0.0374647 0.851047 
1.4 0.1 -0.0376134 0.835796 
1.45 0.1 -0.0364406 0.821468 
1.5 0.1 -0.0340043 0.808402 
1.55 0.1 -0.0303977 0.796871 
1.6 0.1 -0.025747 0.787099 
1.65 0.1 -0.0202108 0.779273 
1.7 0.1 -0.0139771 0.773542 
1.75 0.1 -0.00725923 0.770018 
1.8 0.1 -0.000289177 0.768771 
1.85 0.1 0.00669099 0.769826 
1.9 0.1 0.0134388 0.773163 
1.95 0.1 0.0197211 0.778714 
2 0.1 0.0253228 0.786371 
2.05 0.1 0.0300534 0.795987 
2.1 0.1 0.0337521 0.80738 
2.15 0.1 0.0362897 0.820327 
2.2 0.1 0.0375704 0.834561 
2.25 0.1 0.0375331 0.84975 
2.3 0.1 0.0361536 0.865475 
2.35 0.1 0.0334483 0.881201 
2.4 0.1 0.0294798 0.896267 
2.45 0.1 0.0243625 0.909888 
2.5 0.1 0.0182668 0.92121 
2.55 0.1 0.0114178 0.9294 
2.6 0.1 0.00408879 0.933786 
2.65 0.1 -0.00341398 0.933978 
2.7 0.1 -0.0107717 0.929961 
2.75 0.1 -0.0176759 0.922089 
2.8 0.1 -0.0238498 0.911018 
2.85 0.1 -0.0290633 0.897568 
2.9 0.1 -0.0331412 0.882599 
